Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.0269286	gNB PHY Rxed	2	6	0	1	0	0	SRS
0.106929	gNB PHY Rxed	10	6	0	1	0	0	SRS
0.186929	gNB PHY Rxed	18	6	0	1	0	0	SRS
0.206	gNB PHY Rxed	20	5	0	1	1	0	DL_HARQ
0.207	gNB PHY Rxed	20	6	0	1	1	0	DL_CQI
0.211	gNB PHY Rxed	21	0	0	1	1	0	DL_HARQ
0.212	gNB PHY Rxed	21	1	0	1	1	0	DL_CQI
0.216	gNB PHY Rxed	21	5	0	1	1	0	DL_HARQ
0.217	gNB PHY Rxed	21	6	0	1	1	0	DL_CQI
0.217	gNB PHY Rxed	21	6	0	1	1	0	DL_HARQ
0.218	gNB PHY Rxed	21	7	0	1	1	0	DL_CQI
0.221	gNB PHY Rxed	22	0	0	1	1	0	DL_HARQ
0.222	gNB PHY Rxed	22	1	0	1	1	0	DL_CQI
0.222	gNB PHY Rxed	22	1	0	1	1	0	DL_HARQ
0.223	gNB PHY Rxed	22	2	0	1	1	0	DL_CQI
0.226	gNB PHY Rxed	22	5	0	1	1	0	DL_HARQ
0.227	gNB PHY Rxed	22	6	0	1	1	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	1	1	0	DL_HARQ
0.228	gNB PHY Rxed	22	7	0	1	1	0	DL_CQI
0.231	gNB PHY Rxed	23	0	0	1	1	0	DL_HARQ
0.232	gNB PHY Rxed	23	1	0	1	1	0	DL_CQI
0.232	gNB PHY Rxed	23	1	0	1	1	0	DL_HARQ
0.233	gNB PHY Rxed	23	2	0	1	1	0	DL_CQI
0.236	gNB PHY Rxed	23	5	0	1	1	0	DL_HARQ
0.237	gNB PHY Rxed	23	6	0	1	1	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	1	1	0	DL_HARQ
0.238	gNB PHY Rxed	23	7	0	1	1	0	DL_CQI
0.241	gNB PHY Rxed	24	0	0	1	1	0	DL_HARQ
0.242	gNB PHY Rxed	24	1	0	1	1	0	DL_CQI
0.242	gNB PHY Rxed	24	1	0	1	1	0	DL_HARQ
0.243	gNB PHY Rxed	24	2	0	1	1	0	DL_CQI
0.246	gNB PHY Rxed	24	5	0	1	1	0	DL_HARQ
0.247	gNB PHY Rxed	24	6	0	1	1	0	DL_CQI
0.247	gNB PHY Rxed	24	6	0	1	1	0	DL_HARQ
0.248	gNB PHY Rxed	24	7	0	1	1	0	DL_CQI
0.251	gNB PHY Rxed	25	0	0	1	1	0	DL_HARQ
0.252	gNB PHY Rxed	25	1	0	1	1	0	DL_CQI
0.252	gNB PHY Rxed	25	1	0	1	1	0	DL_HARQ
0.253	gNB PHY Rxed	25	2	0	1	1	0	DL_CQI
0.256	gNB PHY Rxed	25	5	0	1	1	0	DL_HARQ
0.257	gNB PHY Rxed	25	6	0	1	1	0	DL_CQI
0.257	gNB PHY Rxed	25	6	0	1	1	0	DL_HARQ
0.258	gNB PHY Rxed	25	7	0	1	1	0	DL_CQI
0.261	gNB PHY Rxed	26	0	0	1	1	0	DL_HARQ
0.262	gNB PHY Rxed	26	1	0	1	1	0	DL_CQI
0.262	gNB PHY Rxed	26	1	0	1	1	0	DL_HARQ
0.263	gNB PHY Rxed	26	2	0	1	1	0	DL_CQI
0.266	gNB PHY Rxed	26	5	0	1	1	0	DL_HARQ
0.266929	gNB PHY Rxed	26	6	0	1	0	0	SRS
0.267	gNB PHY Rxed	26	6	0	1	1	0	DL_CQI
0.267	gNB PHY Rxed	26	6	0	1	1	0	DL_HARQ
0.268	gNB PHY Rxed	26	7	0	1	1	0	DL_CQI
0.271	gNB PHY Rxed	27	0	0	1	1	0	DL_HARQ
0.272	gNB PHY Rxed	27	1	0	1	1	0	DL_CQI
0.272	gNB PHY Rxed	27	1	0	1	1	0	DL_HARQ
0.273	gNB PHY Rxed	27	2	0	1	1	0	DL_CQI
0.276	gNB PHY Rxed	27	5	0	1	1	0	DL_HARQ
0.277	gNB PHY Rxed	27	6	0	1	1	0	DL_CQI
0.277	gNB PHY Rxed	27	6	0	1	1	0	DL_HARQ
0.278	gNB PHY Rxed	27	7	0	1	1	0	DL_CQI
0.281	gNB PHY Rxed	28	0	0	1	1	0	DL_HARQ
0.282	gNB PHY Rxed	28	1	0	1	1	0	DL_CQI
